state,year,month,TMAX,TMIN,PRCP,SNOW,SNWD
AR,2015,7,34.4,22.8,0,0,0
AR,2015,8,36.1,18.3,0,0,0
AR,2015,8,35.0,18.9,0,0,0
AR,2015,8,29.4,17.8,0,0,0
AR,2015,8,33.9,17.2,0,0,0
AR,2015,9,28.3,17.2,0,0,0
AR,2015,9,23.9,20.0,0,0,0
AR,2015,9,32.8,20.6,0,0,0
AR,2015,9,33.9,21.1,0,0,0
AR,2015,10,21.7,12.2,0,0,0
AR,2015,10,26.1,13.3,0,0,0
AR,2015,10,29.4,11.1,0,0,0
AR,2015,11,17.8,8.9,0,0,0
AR,2015,12,8.9,0.6000000000000001,0,0,0
AR,2015,12,8.3,-1.1,5,0,0
AR,2016,1,7.2,2.2,0,0,0
AR,2016,1,6.1,0.0,0,0,0
AR,2016,1,8.3,1.7000000000000002,0,0,0
AR,2016,2,24.4,8.3,0,0,0
AR,2016,2,18.9,4.4,0,0,0
AR,2016,2,22.2,9.4,53,0,0
AR,2016,3,18.9,7.2,13,0,0
AR,2016,3,17.2,11.7,0,0,0
AR,2016,4,27.8,12.2,0,0,0
AR,2016,4,21.7,8.9,23,0,0
AR,2016,6,30.0,18.9,0,0,0
AR,2016,6,31.7,17.8,25,0,0
AR,2016,7,33.9,21.1,0,0,0
AR,2016,7,32.2,21.1,0,0,0
AR,2016,8,31.1,23.3,0,0,0
AR,2016,9,30.6,21.1,28,0,0
AR,2016,9,33.9,22.2,0,0,0
AR,2016,11,18.9,15.0,0,0,0
AR,2016,11,30.0,-5.6,0,0,0
AR,2016,11,31.1,13.9,0,0,0
AR,2016,12,14.4,1.1,0,0,0
AR,2016,12,10.0,0.6000000000000001,0,0,0
AR,2016,12,13.3,1.7000000000000002,0,0,0
AZ,2015,1,0.6000000000000001,-10.5,5,0,0
AZ,2015,1,8.3,-3.8,3,0,0
AZ,2015,2,16.7,-0.6000000000000001,0,0,0
AZ,2015,2,20.6,8.3,0,0,0
AZ,2015,3,23.3,7.2,0,0,0
AZ,2015,4,25.6,4.4,0,0,0
AZ,2015,4,29.4,18.3,0,0,0
AZ,2015,4,28.9,12.8,0,0,0
AZ,2015,5,7.2,3.9,51,0,0
AZ,2015,6,34.4,12.2,0,0,0
AZ,2015,6,32.2,12.2,0,0,0
AZ,2015,6,27.8,11.1,0,0,0
AZ,2015,6,31.1,10.0,0,0,0
AZ,2015,7,27.8,16.1,43,0,0
AZ,2015,8,26.7,13.3,25,0,0
AZ,2015,8,23.3,15.0,15,0,0
AZ,2015,8,26.7,14.4,145,0,0
AZ,2015,9,30.6,12.8,0,0,0
AZ,2015,9,25.6,5.6,0,0,0
AZ,2015,9,32.8,18.3,0,0,0
AZ,2015,10,26.7,9.4,0,0,0
AZ,2015,11,13.9,-5.0,0,0,25
AZ,2015,11,12.2,2.8,41,38,51
AZ,2015,12,6.7,-10.6,0,0,0
AZ,2015,12,18.9,-1.7000000000000002,0,0,0
AZ,2016,2,7.8,-5.6,91,51,25
AZ,2016,2,6.1,-8.9,175,191,178
AZ,2016,3,28.3,10.6,0,0,0
AZ,2016,3,17.8,-2.2,0,0,0
AZ,2016,4,15.6,-0.6000000000000001,5,0,0
AZ,2016,4,12.8,-3.9,0,0,0
AZ,2016,4,12.2,-6.7,0,0,0
AZ,2016,4,17.2,-0.5,0,0,0
AZ,2016,5,16.7,5.0,94,0,0
AZ,2016,5,19.4,11.1,0,0,0
AZ,2016,6,37.8,22.8,0,0,0
AZ,2016,6,36.7,20.0,0,0,0
AZ,2016,8,38.3,13.3,0,0,0
AZ,2016,8,36.7,26.7,0,0,0
AZ,2016,8,29.4,12.8,279,0,0
AZ,2016,9,27.2,14.4,0,0,0
AZ,2016,9,25.0,10.6,0,0,0
AZ,2016,10,36.1,22.8,0,0,0
AZ,2016,10,23.9,7.2,0,0,0
AZ,2016,10,16.7,1.1,160,0,0
AZ,2016,11,21.7,6.7,0,0,0
AZ,2016,11,18.9,6.1,0,0,0
AZ,2016,12,11.1,-3.2,0,0,0
BC,2015,1,2.5,-2.5,76,0,0
BC,2015,1,4.7,-4.4,18,0,0
BC,2015,1,4.0,-1.5,0,0,0
BC,2015,1,4.0,-4.5,174,0,0
BC,2015,1,0.5,-5.5,10,10,0
BC,2015,1,-3.0,-12.5,12,2,100
BC,2015,2,8.5,3.0,28,0,0
BC,2015,2,1.0,-3.0,48,48,160
BC,2015,2,0.0,-0.5,70,70,40
BC,2015,2,-4.1,-5.3,26,46,190
BC,2015,2,6.3,4.2,124,0,0
BC,2015,2,0.0,-4.0,0,0,50
BC,2015,2,1.0,-2.0,38,38,260
BC,2015,3,6.0,1.0,0,0,320
BC,2015,4,4.0,-6.0,0,0,0
BC,2015,4,9.0,-1.0,0,0,0
BC,2015,4,12.0,4.0,2,0,0
BC,2015,4,12.4,0.5,0,0,0
BC,2015,4,12.0,5.5,8,0,0
BC,2015,5,19.0,7.0,0,0,0
BC,2015,5,15.0,12.0,0,0,0
BC,2015,5,24.0,3.5,0,0,0
BC,2015,5,14.5,-1.0,40,0,0
BC,2015,5,22.0,9.5,0,0,0
BC,2015,5,11.5,4.0,34,0,0
BC,2015,6,17.3,10.2,0,0,0
BC,2015,6,18.0,13.0,0,0,0
BC,2015,6,15.0,11.5,76,0,0
BC,2015,6,26.5,9.5,2,0,0
BC,2015,7,25.0,13.0,0,0,0
BC,2015,7,18.0,12.4,50,0,0
BC,2015,7,23.9,17.2,14,0,0
BC,2015,7,26.9,14.5,0,0,0
BC,2015,8,19.0,10.5,0,0,0
BC,2015,8,37.0,12.5,0,0,0
BC,2015,8,30.0,15.0,0,0,0
BC,2015,8,32.5,11.0,0,0,0
BC,2015,8,25.0,9.7,0,0,0
BC,2015,8,20.0,13.5,0,0,0
BC,2015,9,15.0,8.5,44,0,0
BC,2015,9,18.0,11.0,38,0,0
BC,2015,9,14.5,10.0,364,0,0
BC,2015,9,17.0,10.5,54,0,0
BC,2015,9,17.5,15.0,18,0,0
BC,2015,9,19.5,12.0,158,0,0
BC,2015,10,16.0,8.0,0,0,0
BC,2015,10,21.8,3.4,0,0,0
BC,2015,11,0.5,-12.0,0,0,50
BC,2015,11,9.5,0.5,282,0,0
BC,2015,11,10.0,0.5,300,0,0
BC,2015,11,6.0,-6.0,28,0,0
BC,2015,12,11.0,7.0,346,0,0
BC,2015,12,7.2,4.0,130,0,0
BC,2015,12,-1.5,-6.5,22,28,30
BC,2015,12,6.5,0.5,138,0,0
BC,2015,12,-1.0,-5.5,16,16,30
BC,2016,1,2.5,-7.5,0,0,1490
BC,2016,1,4.0,0.0,0,0,0
BC,2016,1,2.0,-3.0,0,0,0
BC,2016,1,-7.0,-15.0,0,0,790
BC,2016,2,-3.0,-4.0,0,0,240
BC,2016,2,3.0,-9.0,0,0,400
BC,2016,2,7.5,4.0,0,0,0
BC,2016,3,5.8,-0.5,29,0,440
BC,2016,4,19.5,1.0,0,0,0
BC,2016,4,10.0,0.0,0,0,2340
BC,2016,4,15.5,7.0,0,0,0
BC,2016,4,13.0,7.0,0,0,0
BC,2016,5,10.0,6.5,142,0,0
BC,2016,5,25.5,-0.5,0,0,0
BC,2016,5,26.0,6.0,0,0,0
BC,2016,5,12.5,6.8,30,0,0
BC,2016,6,23.5,12.0,190,0,0
BC,2016,6,16.5,9.0,24,0,0
BC,2016,6,20.0,8.0,0,0,0
BC,2016,6,22.0,13.5,146,0,0
BC,2016,7,21.0,12.5,6,0,0
BC,2016,7,26.0,9.0,64,0,0
BC,2016,7,21.5,12.5,8,0,0
BC,2016,7,13.5,12.0,26,0,0
BC,2016,8,22.5,6.0,0,0,0
BC,2016,8,17.0,11.0,0,0,0
BC,2016,8,25.0,8.0,6,0,0
BC,2016,8,25.5,13.0,0,0,0
BC,2016,8,21.0,14.0,0,0,0
BC,2016,9,13.0,12.0,74,0,0
BC,2016,9,15.0,10.0,44,0,0
BC,2016,9,20.0,11.0,50,0,0
BC,2016,9,16.5,11.0,12,0,0
BC,2016,10,16.5,8.0,0,0,0
BC,2016,10,12.0,9.0,4,0,0
BC,2016,10,2.5,-1.0,42,42,0
BC,2016,10,17.5,10.5,22,0,0
BC,2016,11,10.5,6.0,770,0,0
BC,2016,11,10.0,6.5,136,0,0
BC,2016,11,9.5,7.5,14,0,0
BC,2016,12,1.0,-4.0,0,0,40
BC,2016,12,7.5,2.0,26,0,0
BC,2016,12,6.0,-2.0,62,0,0
BC,2016,12,8.0,5.0,172,0,0
BC,2016,12,4.5,1.0,15,0,0
CA,2015,1,14.4,-1.0,0,0,0
CA,2015,2,20.6,6.1,0,0,0
CA,2015,2,19.4,0.6000000000000001,0,0,0
CA,2015,2,23.9,1.7000000000000002,0,0,0
CA,2015,2,20.0,2.8,0,0,0
CA,2015,2,22.8,2.2,0,0,0
CA,2015,2,18.3,0.6000000000000001,0,0,0
CA,2015,3,21.7,7.2,0,0,0
CA,2015,3,22.2,6.7,0,0,0
CA,2015,3,16.1,5.0,0,0,0
CA,2015,3,3.9,-6.0,0,20,51
CA,2015,3,17.2,0.0,0,5,0
CA,2015,4,32.8,16.1,0,0,0
CA,2015,4,32.2,20.0,0,0,0
CA,2015,4,22.8,8.9,0,0,0
CA,2015,5,16.7,12.8,25,0,0
CA,2015,5,34.4,13.9,0,0,0
CA,2015,5,17.2,10.0,0,0,0
CA,2015,5,28.9,2.8,0,0,0
CA,2015,6,36.1,17.2,0,0,0
CA,2015,6,26.1,13.3,0,0,0
CA,2015,6,26.1,6.1,0,0,0
CA,2015,6,21.7,7.2,0,0,0
CA,2015,6,28.9,14.4,0,0,0
CA,2015,6,25.6,5.6,0,0,0
CA,2015,6,26.7,8.9,0,0,0
CA,2015,7,23.3,15.0,0,0,0
CA,2015,7,26.7,17.8,0,0,0
CA,2015,8,23.9,16.7,0,0,0
CA,2015,8,28.3,19.4,0,0,0
CA,2015,8,43.9,26.7,0,0,0
CA,2015,9,25.6,20.6,0,0,0
CA,2015,9,25.0,5.6,0,0,0
CA,2015,10,27.8,16.1,0,0,0
CA,2015,10,28.3,21.1,0,0,0
CA,2015,11,25.6,0.6000000000000001,165,0,0
CA,2015,11,17.8,6.1,25,0,0
CA,2015,12,19.4,2.2,0,0,0
CA,2015,12,21.7,-1.6,0,0,0
CA,2015,12,8.9,-5.0,0,0,0
CA,2015,12,10.6,-6.0,8,13,102
CA,2015,12,13.9,0.0,0,0,0
CA,2015,12,23.9,0.0,0,0,0
CA,2015,12,-0.6000000000000001,-12.2,0,0,25
CA,2015,12,19.4,3.3,0,0,0
CA,2015,12,8.3,3.3,0,0,0
CA,2016,1,0.6000000000000001,-18.3,0,0,76
CA,2016,1,3.3,-10.6,0,0,0
CA,2016,1,10.0,-1.1,0,0,0
CA,2016,1,-0.6000000000000001,-16.7,20,25,838
CA,2016,1,11.7,-2.8,0,0,0
CA,2016,1,-1.1,-11.1,0,0,0
CA,2016,2,0.6000000000000001,-3.2,3,0,0
CA,2016,2,15.0,0.0,0,0,0
CA,2016,2,20.6,3.9,15,0,0
CA,2016,2,7.2,-2.1,0,0,0
CA,2016,2,12.2,0.0,0,0,0
CA,2016,2,14.4,5.6,3,0,0
CA,2016,2,8.9,-5.6,33,0,0
CA,2016,2,12.2,3.3,0,0,0
CA,2016,3,17.8,8.9,0,38,25
CA,2016,3,15.0,-3.3,0,0,0
CA,2016,3,19.4,10.0,0,0,0
CA,2016,3,20.6,8.3,0,0,0
CA,2016,4,33.9,16.7,0,0,0
CA,2016,4,20.6,2.2,0,0,0
CA,2016,4,20.0,-1.7000000000000002,0,0,0
CA,2016,4,20.0,4.4,0,0,0
CA,2016,4,23.9,5.0,0,0,0
CA,2016,5,13.3,5.6,79,0,0
CA,2016,5,16.1,10.0,0,0,0
CA,2016,5,15.0,12.2,71,0,0
