state,year,prcp-01,prcp-02,prcp-03,prcp-04,prcp-05,prcp-06,prcp-07,prcp-08,prcp-09,prcp-10,prcp-11,prcp-12,snow-01,snow-02,snow-03,snow-04,snow-05,snow-06,snow-07,snow-08,snow-09,snow-10,snow-11,snow-12,snwd-01,snwd-02,snwd-03,snwd-04,snwd-05,snwd-06,snwd-07,snwd-08,snwd-09,snwd-10,snwd-11,snwd-12,tmax-01,tmax-02,tmax-03,tmax-04,tmax-05,tmax-06,tmax-07,tmax-08,tmax-09,tmax-10,tmax-11,tmax-12,tmin-01,tmin-02,tmin-03,tmin-04,tmin-05,tmin-06,tmin-07,tmin-08,tmin-09,tmin-10,tmin-11,tmin-12
BC,2015,42.2360248447205,65.49367088607595,15.928571428571429,21.651006711409394,8.993197278911564,26.28472222222222,33.16793893129771,1.4809160305343512,63.847328244274806,11.68939393939394,166.22302158273382,115.24460431654676,17.15527950310559,27.253164556962027,1.7987012987012987,1.825503355704698,0.1360544217687075,0.0,0.0,0.0,0.0,0.007575757575757576,20.58992805755396,10.16546762589928,108.13664596273291,160.0,101.1038961038961,44.76510067114094,11.428571428571429,0.0,0.0,0.0,0.0,0.07575757575757576,33.52517985611511,63.30935251798561,0.5049689440993789,3.1936708860759495,8.124025974025974,9.991946308724831,17.133333333333333,16.862499999999997,24.24885496183206,27.842748091603053,16.668702290076336,18.321969696969695,6.2683453237410065,3.2071942446043167,-7.456521739130435,-1.6835443037974684,-1.9792207792207792,0.8315436241610739,5.446258503401361,10.647222222222222,13.92442748091603,12.022137404580153,9.033587786259544,6.129545454545455,-1.2546762589928058,-3.448920863309352
BC,2016,1.3093525179856116,7.688888888888889,119.54074074074074,1.064516129032258,8.537190082644628,60.264462809917354,21.910714285714285,5.68141592920354,84.0677966101695,44.95867768595041,123.64,80.68217054263566,0.697841726618705,3.251851851851852,12.851851851851851,0.0,0.0,0.0,0.0,0.0,0.0,3.4214876033057853,2.76,7.883720930232558,166.4748201438849,178.0,142.96296296296296,89.91935483870968,0.4132231404958678,0.0,0.0,0.0,0.0847457627118644,0.8264462809917356,23.44,61.31782945736434,-2.537410071942446,2.9066666666666663,7.760740740740741,17.426612903225806,21.5603305785124,19.426446280991733,20.423214285714288,23.829203539823006,18.672033898305088,13.482644628099175,8.1656,4.66046511627907,-9.802877697841726,-2.328148148148148,0.9888888888888889,3.024193548387097,5.881818181818182,9.956198347107438,11.566964285714286,9.985840707964602,10.134745762711866,5.74793388429752,3.0751999999999997,-0.8744186046511627
CA,2015,0.0,4.782312925170068,9.696551724137931,1.5364238410596027,9.65034965034965,2.725925925925926,3.765957446808511,0.4253731343283582,0.07857142857142857,14.313868613138686,37.45859872611465,9.070063694267516,0.0,0.0,3.6344827586206896,0.8741721854304636,4.748251748251748,0.0,0.0,0.0,0.0,0.0,12.197452229299364,3.5095541401273884,14.034965034965035,1.5578231292517006,9.275862068965518,1.6821192052980132,8.174825174825175,0.0,0.0,0.0,0.0,0.0,15.687898089171975,20.54140127388535,8.571328671328672,18.2843537414966,17.831724137931033,20.89139072847682,24.98041958041958,27.476296296296297,28.918439716312058,32.76641791044776,30.490000000000002,26.684671532846718,15.717197452229298,12.837579617834395,-4.148951048951049,3.151700680272109,2.115862068965517,5.321854304635762,9.120979020979021,12.540740740740741,15.916312056737587,17.958955223880597,15.404285714285713,13.989051094890511,3.9407643312101914,-1.3471337579617835
CA,2016,3.4050632911392404,32.355828220858896,14.094936708860759,0.0,12.974683544303797,0.0,0.13636363636363635,0.0,0.0,0.6415094339622641,37.40880503144654,0.5662650602409639,6.379746835443038,21.368098159509202,2.9367088607594938,0.3227848101265823,0.8987341772151899,0.0,0.0,0.0,0.0,0.0,3.1949685534591197,4.891566265060241,51.58227848101266,80.7239263803681,29.575949367088608,16.075949367088608,0.8037974683544303,0.0,0.0,0.0,0.0,0.0,3.5157232704402515,23.42168674698795,9.010759493670886,10.02638036809816,20.522151898734176,20.764556962025317,19.755696202531645,31.1775641025641,30.95844155844156,32.9202614379085,29.27051282051282,25.86540880503145,16.247798742138365,12.252409638554216,-3.4550632911392403,-0.30674846625766866,7.2727848101265815,5.733544303797468,9.223417721518986,14.390384615384615,15.003896103896103,16.624836601307187,12.838461538461539,9.875471698113207,6.408805031446541,1.122289156626506
CO,2015,5.142857142857143,13.572222222222223,2.6179775280898876,0.5,31.94413407821229,9.194285714285714,7.903409090909091,7.758620689655173,10.017241379310345,1.9887640449438202,25.23204419889503,1.3777777777777778,13.902857142857142,17.094444444444445,9.5561797752809,4.032967032967033,2.7039106145251397,0.0,0.0,0.0,0.0,0.48314606741573035,21.900552486187845,4.716666666666667,155.34285714285716,90.77777777777777,135.41573033707866,11.494505494505495,5.5307262569832405,1.8857142857142857,0.0,0.0,0.0,0.2808988764044944,29.85082872928177,66.82222222222222,-5.798285714285715,2.877222222222222,1.344943820224719,21.951098901098902,19.92737430167598,26.432000000000002,29.117613636363636,29.302298850574715,28.171264367816093,23.831460674157302,13.1,-0.4600000000000001,-20.694285714285716,-7.896111111111111,-13.447191011235955,1.5060439560439562,4.279888268156425,8.291428571428572,11.77727272727273,12.575287356321839,9.27471264367816,8.685955056179775,-3.4027624309392266,-12.853888888888887
CO,2016,0.0782122905027933,57.28491620111732,2.943502824858757,5.1502890173410405,15.882352941176471,46.398809523809526,25.688622754491018,13.653179190751445,6.482142857142857,8.514450867052023,10.144444444444444,0.16477272727272727,1.8100558659217878,81.72067039106145,3.0508474576271185,9.531791907514451,4.670588235294118,0.017857142857142856,0.0,0.0,0.0,0.4393063583815029,3.5555555555555554,0.7329545454545454,151.58100558659217,244.17877094972067,78.63841807909604,61.225433526011564,28.405882352941177,0.0,0.0,0.0,0.0,1.1734104046242775,3.2444444444444445,30.289772727272727,-3.4458100558659215,0.6206703910614525,13.85593220338983,6.575722543352601,17.855882352941176,21.39464285714286,28.148502994011977,31.005202312138728,25.04345238095238,22.157225433526012,18.571666666666665,1.5034090909090911,-19.678212290502795,-7.169832402234637,-3.7220338983050847,-8.254913294797687,3.3217647058823534,6.499404761904763,11.655089820359281,13.042196531791909,8.19047619047619,5.233526011560693,1.287777777777778,-12.727272727272727
CT,2015,0.0,0.47058823529411764,27.058823529411764,5.428571428571429,0.0,283.53333333333336,28.58823529411765,0.5555555555555556,4.0588235294117645,168.38888888888889,0.0,13.222222222222221,2.0625,19.88235294117647,23.11764705882353,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5625,254.41176470588235,494.88235294117646,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,-0.24375,-4.2,1.3470588235294116,8.764285714285714,21.75,24.366666666666667,27.876470588235293,29.77777777777778,28.723529411764705,21.844444444444445,14.08235294117647,5.094444444444445,-9.1125,-15.417647058823531,-11.129411764705882,-2.542857142857143,6.192857142857143,8.926666666666668,15.5,16.644444444444446,16.576470588235296,10.566666666666666,1.2823529411764707,-2.1444444444444444
CT,2016,0.0,0.0,7.0,19.842105263157894,45.8235294117647,0.0,16.526315789473685,74.3,26.166666666666668,54.44444444444444,2.823529411764706,181.41176470588235,0.0,0.0,0.2631578947368421,0.6842105263157895,0.0,0.0,0.0,0.0,0.0,0.0,21.529411764705884,0.0,4.444444444444445,10.789473684210526,4.157894736842105,4.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,2.9411764705882355,0.0,5.800000000000001,13.605263157894736,7.826315789473684,20.41578947368421,14.223529411764707,27.941176470588236,26.900000000000002,26.15,26.35,15.183333333333334,8.200000000000001,12.052941176470588,-0.1166666666666667,-0.5526315789473685,-4.394736842105263,7.631578947368421,6.18235294117647,13.076470588235296,15.231578947368419,18.18,16.76111111111111,10.855555555555556,-1.776470588235294,5.988235294117647
DE,2015,12.0,5.0,13.666666666666666,9.333333333333334,49.0,596.0,46.0,0.0,0.0,44.0,0.0,229.33333333333334,0.0,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.175,4.433333333333334,0.6,14.066666666666668,19.099999999999998,28.366666666666664,29.23333333333333,31.3,30.366666666666664,19.633333333333333,17.566666666666666,14.066666666666668,-3.7250000000000005,-7.8999999999999995,-11.633333333333333,0.06666666666666672,8.133333333333335,16.266666666666666,18.5,21.3,20.96666666666667,13.333333333333334,9.833333333333334,8.133333333333333
DE,2016,0.0,67.66666666666667,17.666666666666668,59.333333333333336,107.5,0.0,0.0,13.666666666666666,50.0,10.0,0.0,74.66666666666667,0.0,0.0,50.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,8.333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3999999999999995,14.433333333333332,15.166666666666666,20.0,15.55,29.833333333333332,29.233333333333334,28.7,27.2,17.200000000000003,11.350000000000001,17.03333333333333,1.0999999999999999,5.033333333333333,4.3,13.733333333333334,8.600000000000001,18.5,20.0,23.3,17.966666666666665,13.9,1.6500000000000001,6.466666666666666
FL,2015,21.789473684210527,19.526315789473685,13.512820512820513,0.5609756097560976,2.375,61.0,16.8,174.4878048780488,37.5,7.604651162790698,27.61904761904762,7.386363636363637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.376315789473683,23.25263157894737,26.953846153846154,28.334146341463416,28.9775,31.580487804878047,34.022499999999994,32.017073170731706,31.32777777777778,31.532558139534885,28.347619047619045,27.252272727272725,14.728947368421053,10.463157894736844,15.810256410256411,16.424390243902437,16.225,21.639024390243904,23.6225,23.67560975609756,22.73888888888889,23.734883720930235,19.3,18.102272727272727
FL,2016,23.21276595744681,47.93478260869565,21.644444444444446,63.02,5.471698113207547,22.814814814814813,47.056603773584904,48.094339622641506,142.03773584905662,37.41509433962264,0.0,37.163636363636364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.934042553191492,24.769565217391307,25.408888888888892,29.86,27.71698113207547,33.340740740740735,32.928301886792454,34.264150943396224,31.18867924528302,30.91320754716981,27.890384615384615,27.28,17.314893617021276,14.376086956521737,12.513333333333334,20.588,15.973584905660378,21.60925925925926,24.158490566037738,23.83207547169811,23.554716981132078,19.454716981132073,11.526923076923076,16.178181818181816
FM,2015,7.5,35.666666666666664,49.0,351.3333333333333,58.666666666666664,136.66666666666666,38.0,674.0,53.333333333333336,96.33333333333333,27.0,19.333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.4,29.599999999999998,30.666666666666668,29.96666666666667,29.5,30.733333333333334,29.400000000000002,28.733333333333334,31.46666666666667,31.666666666666668,31.200000000000003,31.3,26.95,24.166666666666668,24.96666666666667,25.3,25.0,24.3,24.633333333333336,23.599999999999998,25.766666666666666,24.7,25.333333333333332,25.166666666666668
GA,2015,5.5,45.30232558139535,37.86666666666667,31.416666666666668,0.0,60.861111111111114,14.972972972972974,46.108108108108105,47.375,78.625,38.351351351351354,33.8974358974359,0.0,1.0465116279069768,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.702941176470588,14.688372093023256,19.89333333333333,26.344444444444445,26.211764705882356,29.41944444444444,32.91891891891892,33.3027027027027,29.583333333333332,26.0925,20.22972972972973,21.33846153846154,0.5705882352941177,-0.42790697674418604,5.17,10.972222222222221,11.976470588235294,18.5,21.33243243243243,21.72972972972973,17.152083333333334,18.5775,7.467567567567568,12.315384615384616
GA,2016,80.24074074074075,5.625,72.26470588235294,302.18666666666667,24.151898734177216,11.232876712328768,46.48717948717949,61.050632911392405,18.7027027027027,0.0,0.0375,141.26582278481013,1.462962962962963,0.17857142857142858,1.1323529411764706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8703703703703705,0.0,0.36764705882352944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.714814814814815,19.89107142857143,17.38235294117647,23.134666666666664,24.831645569620253,32.653424657534245,33.20384615384616,33.87594936708861,31.97702702702703,26.464935064935066,23.97625,21.32405063291139,7.427777777777778,5.705357142857143,2.988235294117647,14.810666666666666,11.781012658227848,18.35890410958904,20.51794871794872,21.560759493670886,20.14189189189189,9.975324675324675,6.33125,5.329113924050633
GU,2015,0.0,0.0,5.0,185.0,10.0,30.0,13.0,84.0,208.0,318.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.7,32.2,31.7,29.4,31.7,31.1,32.2,31.1,31.7,30.6,32.8,31.7,25.0,23.3,24.4,23.9,26.1,25.6,25.0,23.9,24.4,24.4,26.7,25.0
GU,2016,23.0,0.0,0.0,0.0,28.0,0.0,3.0,429.0,0.0,0.0,236.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.6,31.7,29.4,31.7,31.7,32.2,32.2,32.2,32.8,31.7,31.7,31.1,22.8,25.6,23.3,26.1,25.6,26.1,26.1,24.4,27.8,25.0,25.6,25.0
HI,2015,0.0,11.571428571428571,82.85714285714286,3.4285714285714284,7.714285714285714,53.42857142857143,1.1428571428571428,11.714285714285714,74.71428571428571,0.0,218.0,13.857142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.82857142857143,26.885714285714283,26.25714285714286,28.485714285714288,27.3,28.885714285714283,30.32857142857143,31.042857142857144,31.900000000000002,30.0,28.3,28.8,16.2,19.357142857142858,19.82857142857143,20.714285714285715,20.785714285714285,22.385714285714283,23.02857142857143,24.457142857142856,24.52857142857143,20.0,20.6,21.271428571428572
HI,2016,3.0,16.0,0.42857142857142855,0.0,15.285714285714286,39.0,0.0,9.571428571428571,78.14285714285714,44.57142857142857,65.85714285714286,138.88888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.666666666666667,27.614285714285717,28.157142857142855,28.485714285714288,28.642857142857142,29.37142857142857,27.785714285714285,30.17142857142857,30.485714285714288,31.042857142857144,29.842857142857145,28.471428571428568,24.62222222222222,18.657142857142855,18.814285714285713,18.014285714285712,19.357142857142858,21.585714285714285,21.985714285714288,22.442857142857143,23.02857142857143,24.542857142857144,23.485714285714288,22.214285714285715,18.87777777777778
IA,2015,0.10236220472440945,176.856,0.7,3.6666666666666665,16.8015873015873,0.2204724409448819,74.85039370078741,1.2384615384615385,3.368,0.0,35.68503937007874,83.8359375,0.14173228346456693,152.576,0.8769230769230769,0.4728682170542636,0.0,0.0,0.0,0.0,0.0,0.0,0.4015748031496063,33.40625,14.346456692913385,154.848,66.00769230769231,0.1937984496124031,0.0,0.0,0.0,0.0,0.0,0.0,0.4015748031496063,39.484375,-5.337795275590551,0.748,-4.536153846153846,23.090697674418603,21.873015873015873,20.183464566929135,27.143307086614172,29.465384615384615,27.8152,18.346774193548388,14.995275590551183,1.93203125,-17.756692913385827,-8.2032,-19.00076923076923,2.9891472868217055,7.007936507936508,8.171653543307086,17.146456692913386,16.053846153846155,14.2392,4.592741935483871,5.450393700787402,-2.70625
IA,2016,0.7983870967741935,2.3333333333333335,10.21774193548387,49.25,60.346774193548384,60.896,86.38095238095238,45.857142857142854,72.832,1.288,1.2380952380952381,4.858267716535433,1.2258064516129032,7.888888888888889,17.048387096774192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5354330708661418,140.17741935483872,44.476190476190474,22.81451612903226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1984126984126984,3.779527559055118,-3.421774193548387,4.9182539682539685,4.241935483870968,10.44032258064516,19.32741935483871,24.994400000000002,29.042063492063495,27.814285714285713,25.9008,19.8424,13.673015873015872,2.27244094488189,-11.77741935483871,-3.907936507936508,-6.94758064516129,1.2080645161290324,8.216129032258063,13.375200000000001,15.734126984126984,18.16111111111111,13.083200000000001,9.9472,2.836507936507936,0.017322834645669315
ID,2015,7.0,11.28735632183908,0.07142857142857142,15.453488372093023,9.925,27.897435897435898,25.443037974683545,0.0379746835443038,0.03896103896103896,5.963855421686747,32.06666666666667,7.084507042253521,6.788235294117647,4.850574712643678,0.7857142857142857,1.4534883720930232,0.0,0.0,0.0,0.0,0.0,0.0,10.016666666666667,5.549295774647887,159.01176470588234,110.59770114942529,42.345238095238095,15.348837209302326,0.0,0.0,0.0,0.0,0.0,0.0,13.116666666666667,63.0,-9.120000000000001,2.520689655172414,7.6726190476190474,14.901162790697674,19.75875,26.942307692307693,28.427848101265827,34.47215189873418,27.35194805194805,25.1855421686747,8.428333333333333,-3.8380281690140845,-19.623529411764707,-6.219540229885058,-8.66547619047619,-0.9406976744186047,1.4300000000000002,10.542307692307691,12.674683544303797,10.164556962025317,7.3909090909090915,8.251807228915663,-1.1816666666666669,-14.709859154929578
