state,year,prcp-01,prcp-02,prcp-03,prcp-04,prcp-05,prcp-06,prcp-07,prcp-08,prcp-09,prcp-10,prcp-11,prcp-12,snow-01,snow-02,snow-03,snow-04,snow-05,snow-06,snow-07,snow-08,snow-09,snow-10,snow-11,snow-12,snwd-01,snwd-02,snwd-03,snwd-04,snwd-05,snwd-06,snwd-07,snwd-08,snwd-09,snwd-10,snwd-11,snwd-12,tmax-01,tmax-02,tmax-03,tmax-04,tmax-05,tmax-06,tmax-07,tmax-08,tmax-09,tmax-10,tmax-11,tmax-12,tmin-01,tmin-02,tmin-03,tmin-04,tmin-05,tmin-06,tmin-07,tmin-08,tmin-09,tmin-10,tmin-11,tmin-12
AB,1997,13.790123456790123,0.44155844155844154,30.61842105263158,4.012345679012346,15.180904522613066,23.51818181818182,7.037617554858934,10.923303834808259,1.6567796610169492,15.526315789473685,1.7183098591549295,1.3975903614457832,11.493827160493828,0.44155844155844154,31.210526315789473,3.993827160493827,2.2311557788944723,0.09090909090909091,0.0,0.0,0.0,0.6390977443609023,1.6619718309859155,1.3975903614457832,408.39506172839504,416.3636363636364,375.5263157894737,85.8641975308642,20.201005025125628,3.9696969696969697,0.0,0.0,0.0,5.864661654135339,21.971830985915492,35.42168674698795,-9.580246913580247,1.1207792207792207,-7.597368421052631,3.068518518518519,12.369849246231155,18.59939393939394,18.073040752351098,25.01533923303835,21.47203389830508,15.102255639097743,9.069014084507042,2.8361445783132533,-21.137037037037036,-10.39090909090909,-15.394736842105264,-5.91358024691358,2.8889447236180903,9.866666666666667,6.022884012539185,10.361061946902655,3.619915254237288,2.901503759398496,-1.3915492957746478,-8.985542168674698
AB,1998,40.30337078651685,0.02564102564102564,14.487804878048781,3.4497041420118344,12.896373056994818,44.20061728395062,52.246153846153845,16.923780487804876,0.6177606177606177,0.6891891891891891,11.882352941176471,7.945652173913044,42.71910112359551,0.02564102564102564,15.146341463414634,1.3668639053254439,0.0,0.8518518518518519,0.0,0.0,0.0,0.0,6.0,8.58695652173913,76.62921348314607,152.69230769230768,119.39024390243902,35.976331360946745,7.927461139896373,0.37037037037037035,0.0,0.0,0.0,17.16216216216216,18.11764705882353,107.28260869565217,-16.20112359550562,-3.092307692307692,2.602439024390244,8.992899408284023,23.02176165803109,12.114506172839507,22.032615384615386,25.772865853658537,25.52277992277992,9.5,4.865882352941177,-6.020652173913043,-22.12696629213483,-15.035897435897436,-9.764634146341464,-2.007100591715976,5.457512953367876,4.1382716049382715,11.619384615384616,12.55640243902439,6.861003861003861,-0.4864864864864865,-3.1364705882352943,-16.706521739130434
AB,1999,3.4791666666666665,2.841463414634146,7.826086956521739,0.4,22.4527027027027,21.761494252873565,58.55018587360595,0.5986394557823129,14.346666666666666,13.879518072289157,0.0,11.443298969072165,3.4479166666666665,3.1341463414634148,10.25,0.36363636363636365,0.10135135135135136,1.2959770114942528,0.11152416356877323,0.0,0.0,12.174698795180722,0.0,15.896907216494846,236.14583333333334,364.1463414634146,310.6521739130435,122.0,25.743243243243242,9.683908045977011,0.03717472118959108,0.272108843537415,0.0,6.265060240963855,45.55555555555556,86.49484536082474,-12.4375,-2.9524390243902436,1.5565217391304347,5.671818181818182,17.27162162162162,15.789655172413793,16.33085501858736,19.291156462585036,15.194666666666665,8.331325301204819,5.134444444444445,-1.7175257731958762,-21.431250000000002,-13.602439024390245,-8.559782608695652,-8.935454545454546,1.0344594594594594,4.1451149425287355,7.3728624535315985,3.7285714285714286,2.7546666666666666,-2.166265060240964,-8.53111111111111,-15.727835051546391
AB,2000,26.89,3.5157894736842104,6.578947368421052,9.020833333333334,2.7379310344827585,2.7572254335260116,33.35333333333333,32.83552631578947,85.2690909090909,7.98639455782313,0.819672131147541,0.4649122807017544,27.89,2.4,7.557894736842106,1.6805555555555556,0.0,0.0953757225433526,0.0,0.0,1.3709090909090909,4.312925170068027,0.6065573770491803,0.5350877192982456,90.9,147.47368421052633,208.0,42.5,5.379310344827586,5.606936416184971,1.7333333333333334,0.0,0.0,2.5170068027210886,17.62295081967213,46.05263157894737,-9.671,2.9010526315789478,1.5515789473684212,10.875,19.4151724137931,17.065028901734102,25.741333333333333,25.790131578947367,11.929818181818181,9.5578231292517,6.538524590163934,-13.619298245614035,-15.892999999999999,-12.07263157894737,-9.910526315789474,0.6333333333333333,4.1786206896551725,0.5372832369942196,9.886666666666667,12.783552631578948,5.420363636363636,-2.1510204081632653,-4.970491803278688,-25.76578947368421
AK,1997,0.768595041322314,23.45378151260504,1.8306451612903225,62.56666666666667,2.2975206611570247,12.344537815126051,2.5833333333333335,30.762295081967213,58.3968253968254,7.521367521367521,49.69565217391305,42.621848739495796,3.1818181818181817,7.294117647058823,0.9919354838709677,18.591666666666665,0.04132231404958678,1.3445378151260505,0.0,0.0,0.0,4.871794871794871,12.469565217391304,20.932773109243698,362.46280991735534,419.0,403.53225806451616,387.325,36.30578512396694,3.403361344537815,0.0,0.0,0.0,47.94871794871795,149.31304347826088,321.2352941176471,-22.06611570247934,-3.9521008403361346,-6.162903225806452,-0.9508333333333333,14.553719008264462,13.865546218487395,23.822499999999998,19.76065573770492,14.886507936507936,0.7632478632478633,-3.0843478260869563,-7.621008403361344,-29.609917355371902,-14.063025210084033,-16.594354838709677,-11.345,0.47603305785123967,1.2806722689075631,9.6275,10.142622950819673,5.366666666666667,-8.50940170940171,-11.054782608695652,-16.027731092436973
AK,1998,10.372881355932204,24.677966101694917,19.508196721311474,31.870967741935484,8.071428571428571,15.297520661157025,15.319672131147541,16.0,105.35833333333333,6.944444444444445,26.548672566371682,19.10810810810811,12.415254237288135,4.533898305084746,1.221311475409836,10.193548387096774,1.0158730158730158,0.0,0.0,0.0,0.0,0.5111111111111111,4.495575221238938,8.684684684684685,467.50847457627117,426.83898305084745,392.23770491803276,252.98387096774192,26.1984126984127,0.0,0.0,0.0,0.0,14.355555555555556,36.61946902654867,196.2972972972973,-13.239830508474576,-1.594915254237288,0.7508196721311475,2.864516129032258,13.663492063492063,15.062809917355372,22.20983606557377,19.620491803278686,13.889999999999999,5.72,0.3353982300884956,-7.225225225225225,-22.789830508474576,-11.448305084745764,-11.032786885245901,-7.09516129032258,3.2944444444444447,4.775206611570248,10.029508196721311,8.778688524590164,5.449166666666667,-4.894444444444445,-6.787610619469026,-13.572972972972973
AK,1999,27.39814814814815,20.146551724137932,26.008849557522122,79.07627118644068,33.69747899159664,13.282051282051283,12.225,4.38655462184874,25.680672268907564,49.74782608695652,111.44545454545455,31.908256880733944,26.694444444444443,24.155172413793103,22.17699115044248,28.21186440677966,9.277310924369749,0.17094017094017094,0.0,0.0,0.0,1.7739130434782608,49.981818181818184,17.05504587155963,396.037037037037,480.83620689655174,512.0442477876106,480.02542372881356,110.3109243697479,14.760683760683762,0.0,0.0,0.0,7.913043478260869,201.8181818181818,296.39449541284404,-9.525,-22.404310344827586,-6.230973451327434,1.8805084745762712,7.3462184873949585,13.513675213675214,19.470833333333335,21.307563025210083,14.921008403361345,6.5721739130434775,-6.927272727272728,-14.102752293577982,-18.8462962962963,-29.707758620689653,-14.41061946902655,-7.452542372881355,-1.3210084033613447,2.3102564102564105,7.761666666666667,9.85126050420168,5.742857142857143,-0.3660869565217391,-13.236363636363636,-21.212844036697245
AK,2000,5.0625,51.01801801801802,22.476635514018692,9.560747663551401,23.125,6.2926829268292686,20.18487394957983,16.975206611570247,25.79527559055118,3.764705882352941,19.620689655172413,23.831932773109244,2.5714285714285716,53.450450450450454,2.467289719626168,4.214953271028038,2.2083333333333335,0.0,0.0,0.0,0.0,1.5126050420168067,8.862068965517242,10.739495798319327,370.2767857142857,747.5585585585585,568.2990654205607,525.3457943925233,137.14166666666668,16.10569105691057,0.0,0.0,0.0,21.96638655462185,103.96551724137932,183.9747899159664,-22.166071428571428,-6.987387387387388,-0.7635514018691589,3.080373831775701,9.973333333333333,15.15609756097561,16.4672268907563,18.332231404958677,14.94488188976378,4.738655462184874,-2.8310344827586205,-3.847058823529412,-29.063392857142855,-16.791891891891893,-11.523364485981308,-7.801869158878504,-0.34833333333333333,3.369918699186992,6.334453781512605,7.346280991735537,4.379527559055118,-7.078151260504201,-10.795689655172414,-11.15798319327731
AL,1997,29.181818181818183,6.25,121.17105263157895,3.6710526315789473,24.80263157894737,229.70666666666668,65.10526315789474,28.04,27.736842105263158,1.72,148.64473684210526,15.266666666666667,0.6623376623376623,0.13157894736842105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0133333333333334,21.187012987012988,17.84078947368421,24.03684210526316,20.74342105263158,27.265789473684208,23.704,31.343421052631577,28.197333333333336,33.488157894736844,23.54133333333333,19.91842105263158,13.690666666666665,13.383116883116884,1.357894736842105,16.080263157894734,4.453947368421052,15.746052631578948,15.556000000000001,21.13684210526316,17.558666666666667,20.11842105263158,9.898666666666667,9.444736842105263,5.158666666666667
AL,1998,0.32894736842105265,2.0921052631578947,6.0,178.1038961038961,16.87012987012987,10.717948717948717,30.026315789473685,5.546666666666667,51.29333333333334,0.0,0.33783783783783783,28.973684210526315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.413157894736841,15.094736842105263,20.271428571428572,27.12727272727273,28.54935064935065,32.955128205128204,35.910526315789475,31.80666666666667,33.43733333333333,26.65,28.52297297297297,19.51842105263158,-4.796052631578948,0.24605263157894736,5.496103896103896,9.671428571428573,14.515584415584415,21.426923076923078,21.83157894736842,19.213333333333335,20.468,13.899999999999999,10.514864864864865,6.526315789473684
