state,year,prcp-01,prcp-02,prcp-03,prcp-04,prcp-05,prcp-06,prcp-07,prcp-08,prcp-09,prcp-10,prcp-11,prcp-12,snow-01,snow-02,snow-03,snow-04,snow-05,snow-06,snow-07,snow-08,snow-09,snow-10,snow-11,snow-12,snwd-01,snwd-02,snwd-03,snwd-04,snwd-05,snwd-06,snwd-07,snwd-08,snwd-09,snwd-10,snwd-11,snwd-12,tmax-01,tmax-02,tmax-03,tmax-04,tmax-05,tmax-06,tmax-07,tmax-08,tmax-09,tmax-10,tmax-11,tmax-12,tmin-01,tmin-02,tmin-03,tmin-04,tmin-05,tmin-06,tmin-07,tmin-08,tmin-09,tmin-10,tmin-11,tmin-12
AB,2019,2.235294117647059,58.88235294117647,0.7058823529411765,2.625,19.75,2.4285714285714284,24.571428571428573,18.933333333333334,32.6,0.0,2.4705882352941178,0.11764705882352941,2.235294117647059,61.0,1.411764705882353,2.5,4.25,0.0,0.0,0.0,0.0,0.0,0.5882352941176471,0.23529411764705882,86.47058823529412,100.0,158.8235294117647,5.625,1.25,0.0,0.0,0.0,0.0,40.0,21.176470588235293,81.76470588235294,4.635294117647058,-15.488235294117647,-9.358823529411765,7.8375,10.5625,25.607142857142858,21.428571428571427,25.6,13.033333333333333,7.1000000000000005,6.335294117647059,-1.7823529411764707,-12.476470588235294,-19.38823529411765,-23.5,-1.93125,-2.23125,6.964285714285714,7.964285714285714,10.866666666666667,6.633333333333334,-6.0588235294117645,-5.858823529411764,-17.441176470588236
AB,2020,5.294117647058823,23.41176470588235,2.7777777777777777,2.235294117647059,11.0,3.857142857142857,104.3076923076923,11.285714285714286,26.428571428571427,0.0,0.0,0.0,5.294117647058823,17.058823529411764,3.0,2.235294117647059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6666666666666665,95.88235294117646,105.88235294117646,129.44444444444446,155.88235294117646,0.0,0.0,0.0,0.0,0.0,0.5882352941176471,30.666666666666668,66.66666666666667,1.2647058823529411,4.68235294117647,4.261111111111111,-9.75294117647059,18.1375,19.964285714285715,19.26923076923077,29.285714285714285,21.642857142857142,19.61176470588235,12.493333333333334,3.3400000000000003,-8.947058823529412,-5.688235294117647,-10.172222222222222,-19.670588235294115,2.01875,7.535714285714286,10.692307692307692,14.071428571428571,9.107142857142858,0.5176470588235295,-8.52,-6.5600000000000005
AK,2019,126.19277108433735,3.7976190476190474,2.689655172413793,0.9425287356321839,19.274725274725274,57.58426966292135,7.797752808988764,20.786516853932586,6.561797752808989,114.16470588235295,60.353658536585364,43.68674698795181,13.409638554216867,3.4404761904761907,1.8045977011494252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6463414634146343,21.06024096385542,252.44578313253012,277.4166666666667,399.4367816091954,148.9655172413793,37.7032967032967,0.5730337078651685,0.0,0.0,0.0,0.0,51.78048780487805,191.0120481927711,2.5843373493975905,-7.723809523809525,0.7241379310344828,10.982758620689655,11.584615384615384,14.22247191011236,24.461797752808987,19.758426966292134,18.357303370786518,9.584705882352942,0.42804878048780487,-1.2036144578313255,-3.563855421686747,-17.314285714285717,-11.693103448275863,-3.75632183908046,0.3934065934065934,7.3629213483146065,11.793258426966291,10.365168539325843,6.301123595505618,3.396470588235294,-4.79390243902439,-5.414457831325301
AK,2020,82.9113924050633,30.860759493670887,53.353658536585364,9.25,8.590361445783133,49.023809523809526,11.321428571428571,36.392405063291136,67.87012987012987,69.7948717948718,70.4054054054054,237.7123287671233,53.41772151898734,37.49367088607595,45.90243902439025,0.2625,0.12048192771084337,0.0,0.0,0.0,0.0,0.0,11.0,24.89041095890411,311.26582278481015,509.32911392405066,612.3414634146342,584.175,112.57831325301204,0.0,0.0,0.0,0.0,1.9615384615384615,161.95945945945945,261.3835616438356,-3.839240506329114,-13.294936708860758,-6.282926829268293,0.15250000000000002,11.224096385542168,15.973809523809523,17.45357142857143,21.68860759493671,14.541558441558442,13.555128205128204,-3.1905405405405403,0.7465753424657534,-12.611392405063292,-20.03291139240506,-15.59390243902439,-13.0725,-1.1072289156626507,5.671428571428571,6.9523809523809526,10.90632911392405,7.931168831168832,5.225641025641026,-10.263513513513514,-8.835616438356164
AL,2019,103.93333333333334,0.12,180.1851851851852,2.0476190476190474,56.53846153846154,3.727272727272727,18.666666666666668,113.9375,12.333333333333334,0.0,99.1891891891892,166.42424242424244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.413333333333334,13.104000000000001,14.07777777777778,15.69047619047619,27.592307692307692,32.96363636363637,34.53333333333333,34.21875,35.233333333333334,36.35294117647059,15.79189189189189,21.003030303030304,9.44,-1.8679999999999999,5.177777777777778,1.538095238095238,16.66923076923077,17.836363636363636,21.775000000000002,20.7375,20.30666666666667,19.870588235294118,-1.3891891891891892,7.896969696969697
AL,2020,8.40625,7.96969696969697,44.92,37.40909090909091,0.0,16.6875,146.92857142857142,4.571428571428571,78.78571428571429,0.0,12.157894736842104,6.53125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8421052631578947,1.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5625,13.146875,11.445454545454545,19.324,18.53181818181818,25.7,31.1375,30.428571428571427,32.68571428571428,32.50714285714286,26.178571428571427,22.69473684210526,7.5875,-0.496875,4.53939393939394,5.252000000000001,5.1000000000000005,8.773333333333333,15.96875,21.114285714285717,22.37857142857143,22.385714285714283,9.807142857142859,13.168421052631578,-4.090625
AR,2019,52.95061728395062,6.931034482758621,9.55952380952381,0.15476190476190477,56.10843373493976,0.16666666666666666,27.678571428571427,4.564705882352941,37.21686746987952,0.09411764705882353,69.1590909090909,50.25301204819277,0.09876543209876543,0.0,0.15476190476190477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.125,0.0,0.30864197530864196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.0,11.991358024691358,8.431034482758621,4.895238095238095,12.854761904761904,23.12289156626506,29.444871794871794,31.84047619047619,31.72470588235294,34.40481927710843,32.78470588235294,10.9375,17.612048192771084,2.0209876543209875,-3.8793103448275863,-4.190476190476191,-0.05714285714285713,11.57710843373494,16.243589743589745,21.464285714285715,21.508235294117647,20.672289156626505,19.503529411764706,-5.040909090909091,3.6554216867469878
AR,2020,4.152941176470589,1.3571428571428572,4.309523809523809,8.91566265060241,5.089743589743589,13.316455696202532,4.2439024390243905,58.39506172839506,258.25,0.0,0.45,0.0375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.374117647058823,10.269047619047619,18.670238095238094,19.248192771084337,24.137179487179488,27.821518987341772,31.7890243902439,28.324691358024694,28.945,27.691025641025643,17.96125,7.435,-1.0870588235294116,1.0535714285714286,6.078571428571428,6.239759036144578,9.616666666666667,15.046835443037976,23.190243902439022,19.377777777777776,21.10125,9.432051282051283,3.33125,-5.70625
AZ,2019,46.58024691358025,5.824324324324325,0.16470588235294117,0.0,0.4074074074074074,0.0,7.2105263157894735,21.51219512195122,8.6,0.0,0.0,11.805970149253731,41.50617283950617,5.256756756756757,0.7529411764705882,0.32894736842105265,0.06172839506172839,0.0,0.0,0.0,0.0,0.0,1.6883116883116882,9.64179104477612,41.135802469135804,43.91891891891892,30.188235294117646,12.368421052631579,0.0,0.0,0.0,0.0,0.0,0.0,1.6493506493506493,55.28358208955224,4.853086419753087,16.69864864864865,17.97529411764706,21.275000000000002,26.31851851851852,29.844285714285714,34.61447368421052,32.393902439024394,31.052,26.07125,20.76883116883117,11.140298507462687,-6.658024691358024,2.525675675675676,3.3223529411764705,2.9118421052631582,8.018518518518519,10.03857142857143,16.44473684210526,18.451219512195124,17.444,8.7075,1.8883116883116884,-2.308955223880597
AZ,2020,0.08,3.857142857142857,2.9864864864864864,0.0,0.0,1.6666666666666667,0.0,5.6231884057971016,6.875,0.0,0.11764705882352941,0.0,1.56,0.5584415584415584,3.0945945945945947,0.0,0.0,0.0,0.0,0.0,0.0,0.1388888888888889,0.75,0.3787878787878788,47.70666666666666,10.87012987012987,7.202702702702703,5.235294117647059,0.0,0.0,0.0,0.0,0.0,0.0,3.3529411764705883,0.3787878787878788,9.686666666666667,17.7987012987013,17.883783783783784,22.791176470588233,32.445205479452056,35.122727272727275,33.5514705882353,39.4,32.465625,33.49305555555556,22.51029411764706,15.778787878787881,-4.110666666666667,-0.26493506493506497,2.425675675675676,6.333823529411765,10.491780821917807,16.068181818181817,14.536764705882353,21.340579710144926,18.6359375,11.279166666666667,3.730882352941176,-2.3575757575757574
